,,,,,,ProStream OUT,,,BB IN (163),,,,,,,,BB OUT (162),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,SD720х576/ HD1920х1080,HIGH,SD640х480,MED,SD320х240/ HD1280х720,LOW,,,,,,,,
#,Канал,,фронтенд,вещает,записывается,Multicast address,port,SRC address,Multicast address,port,SRC address,source IN,визуальное качество IN,визуальное качество OUT,Res,AR,Multicast address,Port,Multicast address,Port,Multicast address,Port,SRC address,TS Port,url,,,,,Новый домен
channel_num,channel_name_ru,refname,,stream_fe,dvr_fe,prostream_mc_address,prostream_mc_port,prostream_mc_src_address,mc_in_address,mc_in_port,,,,,resolution,aspect_ratio,mc_1_out_address,mc_1_out_port,mc_2_out_address,mc_2_out_port,mc_3_out_address,mc_3_out_port,mc_out_src_address,ts_port,,,,,,
41,Music Box RU,musicboxru,fe02,sfe4,,,,,239.255.50.25,1234,,,,удовлетворительно,544x576,4:3,228.8.10.37,10037,228.8.9.37,9037,228.8.8.37,8037,,17041,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:musicboxru_sd.smil/playlist.m3u8,,228.8.8.37:8037,228.8.9.37:9037,228.8.10.37:10037,sfe4
42,Music Box TV,musicboxrv,fe02,sfe4,,,,,239.255.50.63,1234,,,,удовлетворительно,544x576,4:3,228.8.10.38,10038,228.8.9.38,9038,228.8.8.38,8038,,17042,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:musicboxrv_sd.smil/playlist.m3u8,,228.8.8.38:8038,228.8.9.38:9038,228.8.10.38:10038,sfe4
43,O2,o2molodo,fe02,sfe4,,,,,239.255.50.139,1234,,,,удовлетворительно,704x576,4:3,228.8.10.39,10039,228.8.9.39,9039,228.8.8.39,8039,,17043,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:o2molodo_sd.smil/playlist.m3u8,,228.8.8.39:8039,228.8.9.39:9039,228.8.10.39:10039,sfe4
44,Ru Tv,rutv,fe02,sfe4,,,,,239.255.50.129,1234,,,,удовлетворительно,720x576,4:3,228.8.10.40,10040,228.8.9.40,9040,228.8.8.40,8040,,17044,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:rutv_sd.smil/playlist.m3u8,,228.8.8.40:8040,228.8.9.40:9040,228.8.10.40:10040,sfe4
45,Мультимания,multimany,fe02,sfe4,sfe4,,,,239.32.0.47,5000,,,,удовлетворительно,544x576,4:3,228.8.10.63,10063,228.8.9.63,9063,228.8.8.63,8063,,17045,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:multimany_sd.smil/playlist.m3u8,http://sfe4.rt.bradburylab.tv/live/%02d_%02d_multimany_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.63:8063,228.8.9.63:9063,228.8.10.63:10063,sfe4
46,Страна,strana,fe02,sfe4,,,,,239.2.255.126,2020,,,,удовлетворительно,544x576,4:3,228.8.10.78,10078,228.8.9.78,9078,228.8.8.78,8078,,17046,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:strana_sd.smil/playlist.m3u8,,228.8.8.78:8078,228.8.9.78:9078,228.8.10.78:10078,sfe4
47,РБК-ТВ,rbktv,fe02,sfe4,sfe4,,,,239.255.50.10,1234,,,,удовлетворительно,704x576,4:3,228.8.10.79,10079,228.8.9.79,9079,228.8.8.79,8079,,17047,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:rbktv_sd.smil/playlist.m3u8,http://sfe4.rt.bradburylab.tv/live/%02d_%02d_rbktv_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.79:8079,228.8.9.79:9079,228.8.10.79:10079,sfe4
48,Наука 2.0,nauka2.0,fe02,sfe4,sfe4,,,,239.32.0.49,5000,,,удовлетворительно,удовлетворительно,720x576,4:3,228.8.10.82,10082,228.8.9.82,9082,228.8.8.82,8082,,17048,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:nauka2.0_sd.smil/playlist.m3u8,http://sfe4.rt.bradburylab.tv/live/%02d_%02d_nauka2.0_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.82:8082,228.8.9.82:9082,228.8.10.82:10082,sfe4
49,365 дней,365dney,fe02,sfe4,sfe4,,,,239.32.0.9,5000,,,,удовлетворительно,704x576,4:3,228.8.10.83,10083,228.8.9.83,9083,228.8.8.83,8083,,17049,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:365dney_sd.smil/playlist.m3u8,http://sfe4.rt.bradburylab.tv/live/%02d_%02d_365dney_576p/playlist.m3u8?DVR&start=%d&duration=%d,228.8.8.83:8083,228.8.9.83:9083,228.8.10.83:10083,sfe4
50,Zee TV,zeetv,fe02,sfe4,,,,,239.255.50.116,1234,,,,удовлетворительно,720x576,4:3,228.8.10.85,10085,228.8.9.85,9085,228.8.8.85,8085,,17050,http://sfe4.rt.bradburylab.tv/live/_definst_/smil:zeetv_sd.smil/playlist.m3u8,,228.8.8.85:8085,228.8.9.85:9085,228.8.10.85:10085,sfe4
